sample_id	read_count	gc_content	seq_score	read_length	map_score
barcode06	read	occurence
Mapped	152
No mapped	617
total	769	GC_content,mapped,occurence
70.71,0.0,1.0
70.74,0.0,2.0
70.75,1.0,1.0
70.77,0.0,2.0
70.78,0.0,1.0
70.81,1.0,1.0
70.82,0.0,1.0
70.84,0.0,1.0
70.87,0.0,1.0
70.91,0.0,3.0
70.94,1.0,1.0
70.96,0.0,1.0
71.0,0.0,1.0
71.02,0.0,3.0
71.03,0.0,1.0
71.05,0.0,1.0
71.07,0.0,1.0
71.08,0.0,1.0
71.09,0.0,1.0
71.11,1.0,1.0
71.13,0.0,1.0
71.16,1.0,1.0
71.17,0.0,1.0
71.18,0.0,1.0
71.19,0.0,1.0
71.21,0.0,1.0
71.22,0.0,1.0
71.29,0.0,1.0
71.29,1.0,1.0
71.3,0.0,1.0
71.32,0.0,2.0
71.33,0.0,1.0
71.38,0.0,2.0
71.44,0.0,1.0
71.45,0.0,1.0
71.48,0.0,1.0
71.49,1.0,1.0
71.54,0.0,1.0
71.55,0.0,1.0
71.57,0.0,1.0
71.59,1.0,1.0
71.63,0.0,1.0
71.64,0.0,1.0
71.65,0.0,1.0
71.68,0.0,2.0
71.7,0.0,1.0
71.71,0.0,2.0
71.71,1.0,1.0
71.72,0.0,2.0
71.75,1.0,1.0
71.77,1.0,1.0
71.78,0.0,2.0
71.79,1.0,1.0
71.84,0.0,1.0
71.84,1.0,1.0
71.86,0.0,1.0
71.87,0.0,1.0
71.92,0.0,1.0
71.93,0.0,1.0
71.96,0.0,1.0
71.97,1.0,1.0
72.02,1.0,1.0
72.03,0.0,1.0
72.05,0.0,1.0
72.11,0.0,1.0
72.12,0.0,2.0
72.12,1.0,1.0
72.14,0.0,2.0
72.16,0.0,1.0
72.22,0.0,1.0
72.23,0.0,1.0
72.25,0.0,1.0
72.27,0.0,1.0
72.29,0.0,1.0
72.36,0.0,1.0
72.39,0.0,1.0
72.41,0.0,1.0
72.53,1.0,1.0
72.54,0.0,1.0
72.56,0.0,1.0
72.57,1.0,1.0
72.58,0.0,1.0
72.58,1.0,1.0
72.59,0.0,1.0
72.62,1.0,1.0
72.63,0.0,1.0
72.63,1.0,1.0
72.64,0.0,2.0
72.66,0.0,1.0
72.72,1.0,1.0
72.74,0.0,1.0
72.79,0.0,1.0
72.82,0.0,1.0
72.84,0.0,1.0
72.86,1.0,1.0
72.93,0.0,2.0
72.97,0.0,1.0
73.0,0.0,1.0
73.04,0.0,1.0
73.06,0.0,1.0
73.1,0.0,1.0
73.15,1.0,1.0
73.22,0.0,2.0
73.24,1.0,1.0
73.25,0.0,1.0
73.26,0.0,1.0
73.29,0.0,1.0
73.3,0.0,2.0
73.31,1.0,1.0
73.34,1.0,1.0
73.36,0.0,1.0
73.37,0.0,1.0
73.52,0.0,1.0
73.55,1.0,1.0
73.58,0.0,1.0
73.59,0.0,1.0
73.69,1.0,1.0
73.82,0.0,1.0
73.9,0.0,1.0
73.96,0.0,1.0
73.97,1.0,1.0
74.01,0.0,1.0
74.04,0.0,1.0
74.07,0.0,1.0
74.08,0.0,2.0
74.18,0.0,1.0
74.31,0.0,1.0
74.38,0.0,1.0
74.4,0.0,1.0
74.44,0.0,1.0
74.5,0.0,1.0
74.59,0.0,1.0
74.61,0.0,1.0
74.62,0.0,1.0
74.81,0.0,1.0
74.85,0.0,1.0
74.98,1.0,1.0
74.99,1.0,1.0
75.06,0.0,1.0
75.18,0.0,1.0
75.22,0.0,1.0
75.23,0.0,1.0
75.63,0.0,1.0
76.0,0.0,1.0
76.03,0.0,1.0
77.1,0.0,1.0	read_length,mapped,occurence
150,0,5
151,0,1
152,0,3
153,0,1
154,0,1
156,0,2
157,0,1
159,0,1
160,0,1
162,0,1
163,0,2
164,0,1
165,1,1
166,0,1
167,0,2
168,0,2
169,1,1
170,0,2
171,0,1
172,0,2
173,0,2
174,0,3
175,0,1
176,0,1
177,0,1
178,0,2
179,1,1
180,0,3
181,0,1
182,0,1
183,0,2
184,0,1
185,0,4
186,0,2
186,1,1
188,0,1
188,1,1
189,0,1
190,0,1
191,0,2
192,0,1
193,0,1
194,0,7
195,0,4
196,0,1
197,0,1
198,0,2
199,0,2
200,0,1
201,0,1
202,0,1
203,0,3
204,0,3
205,0,1
206,0,1
207,0,3
208,0,1
209,0,2
210,0,1
211,0,3
212,0,1
213,0,1
214,0,2
215,0,1
216,0,2
217,0,3
218,0,2
219,0,1
220,0,2
221,0,2
222,0,1
223,0,1
224,0,3
225,0,2
226,0,1
227,0,1
228,0,2
230,0,3
231,0,1
231,1,1
234,1,1
235,1,1
236,1,2
237,0,1
237,1,1
238,0,1
238,1,2
239,0,1
239,1,1
240,0,2
241,0,1
243,0,1
244,0,3
245,0,2
246,0,1
246,1,1
247,0,1
248,0,2
250,0,2
251,0,2
251,1,1
252,0,1
254,0,2
255,0,1
255,1,1
256,0,1
256,1,1
257,0,3
258,0,3
259,1,1
260,1,1
261,0,3
262,0,3
263,0,1
264,0,4
265,0,1
266,0,2
267,0,1
268,0,2
270,0,2
271,1,1
272,0,1
273,0,1
273,1,1
274,0,2
275,0,3
276,0,1
276,1,1
277,0,1
277,1,10
279,0,1
281,0,1
283,1,1
287,0,1
287,1,1
288,0,1
290,0,4
291,0,1
292,0,3
293,0,3
293,1,1
294,0,3
295,0,2
295,1,1
296,0,1
297,0,1
298,0,1
299,0,2
300,0,1
301,0,1
302,0,3
305,0,1
306,0,1
309,0,4
312,0,3
313,0,2
314,0,1
315,0,1
315,1,1
316,0,2
317,0,1
318,0,3
319,0,3
321,1,1
323,1,1
324,0,3
325,0,1
328,0,1
329,0,2
329,1,2
330,0,1
331,0,1
332,0,1
335,1,1
337,0,1
339,0,2
340,0,1
343,0,1
344,0,2
345,0,1
346,0,2
347,0,2
348,1,1
349,0,1
351,0,1
351,1,1
352,0,2
353,1,1
355,0,1
358,0,1
359,0,1
360,0,2
361,0,1
361,1,1
362,0,1
362,1,2
363,0,1
363,1,1
364,0,2
365,0,1
366,0,1
368,0,3
368,1,1
370,0,1
371,0,1
373,0,1
375,0,2
376,0,1
378,0,1
379,0,3
381,0,2
382,0,1
383,0,2
384,0,2
385,0,2
386,0,3
387,0,1
389,0,1
390,0,1
392,0,2
394,0,3
395,0,1
396,0,1
397,0,1
398,0,2
401,0,1
402,0,4
403,0,1
405,0,1
406,0,1
407,0,1
408,1,1
409,0,1
412,0,2
417,0,2
422,0,1
423,1,1
425,0,3
426,0,3
427,0,1
428,0,1
429,0,1
430,0,2
431,0,1
434,0,1
436,0,1
437,0,2
439,0,2
440,0,3
441,0,2
444,0,2
446,0,2
449,0,1
451,0,3
451,1,1
452,0,1
453,0,2
454,0,1
457,1,1
459,0,1
463,1,1
464,0,2
464,1,1
465,0,1
467,0,1
468,0,1
470,0,1
473,0,1
474,0,2
476,0,1
479,0,1
480,0,1
484,0,3
486,0,3
487,0,1
488,0,1
489,1,1
491,0,1
493,0,1
494,0,2
494,1,1
497,0,2
501,0,1
501,1,1
503,0,1
506,0,1
506,1,1
507,0,3
508,0,1
509,0,1
511,0,1
513,0,1
514,0,3
515,0,2
517,0,1
518,0,1
518,1,1
520,0,1
523,0,2
524,0,1
526,0,1
527,0,1
530,0,1
530,1,1
537,0,1
540,0,1
542,1,1
543,0,1
544,0,1
545,0,1
546,0,3
547,0,1
549,1,1
552,0,1
555,0,2
556,1,1
557,1,1
560,0,3
561,0,2
564,0,1
565,0,2
565,1,1
566,0,1
567,0,1
567,1,1
568,0,2
569,0,1
576,0,1
577,0,2
579,0,1
582,1,1
583,1,1
584,0,2
584,1,1
585,0,1
585,1,1
586,0,1
590,0,2
590,1,1
592,0,1
595,0,1
595,1,1
596,0,1
597,0,2
597,1,1
599,0,1
602,1,1
604,0,1
605,0,1
607,0,1
608,0,1
609,0,1
609,1,1
616,0,1
623,0,1
623,1,1
624,0,2
625,0,2
626,1,1
628,0,1
629,0,1
630,0,1
631,0,1
634,0,1
635,0,1
638,1,1
642,1,1
643,1,1
647,0,1
648,1,1
652,0,1
652,1,1
654,0,1
658,0,1
659,0,2
660,0,1
661,0,1
664,0,1
665,0,2
665,1,1
668,0,2
669,0,1
669,1,1
670,0,1
671,1,1
673,0,1
675,0,2
677,0,1
678,0,2
681,0,1
684,0,1
685,0,1
687,0,1
689,0,1
690,0,2
691,0,1
693,0,1
696,0,1
706,0,2
707,0,1
712,0,1
715,1,1
716,0,1
720,0,1
721,0,3
723,0,1
724,0,3
726,0,1
727,0,1
730,0,1
731,0,1
732,0,3
733,1,1
735,1,1
737,0,1
739,0,2
747,0,1
757,1,1
763,1,1
766,0,2
768,0,1
768,1,1
771,1,1
773,0,1
773,1,1
775,0,2
776,0,1
778,0,1
779,0,1
780,0,1
783,0,1
789,1,1
791,0,1
792,0,1
793,0,1
795,0,1
795,1,1
799,0,1
799,1,1
800,0,1
815,0,1
816,0,1
819,0,1
819,1,1
822,0,2
827,0,1
828,1,1
831,0,1
836,0,1
837,1,1
840,0,1
847,0,1
856,1,1
857,0,1
859,0,1
865,0,1
866,0,1
876,0,1
880,0,1
881,1,1
883,1,1
886,0,1
888,0,1
891,1,1
892,0,1
893,0,1
896,0,1
897,0,1
903,0,1
906,0,1
910,1,1
913,0,1
916,1,1
921,0,1
921,1,1
923,1,1
924,1,1
925,0,1
929,1,1
930,1,2
934,0,1
934,1,1
935,1,1
936,1,1
937,1,2
938,1,2
939,1,2
940,1,2
941,1,1
942,1,3
943,0,2
944,1,1
946,0,1
947,0,1
952,1,1
953,0,1
960,0,1
967,0,1
968,1,1
969,1,1
973,0,1
976,1,2
978,1,1
979,1,1
981,1,1
982,1,1
990,0,1
994,0,1
995,0,1
1003,0,1
1007,0,1
1013,1,1
1016,1,1
1019,0,2
1027,0,1
1030,0,1
1032,0,1
1045,1,1
1048,0,1
1061,1,1
1064,0,1
1066,0,1
1069,1,1
1071,0,1
1073,0,1
1076,1,1
1077,0,1
1085,1,1
1088,0,1
1099,0,1
1101,1,1
1104,0,1
1105,0,1
1109,1,1
1119,0,1
1120,0,1
1123,1,1
1126,1,2
1127,0,1
1130,0,1
1136,1,1
1137,0,1
1138,0,1
1152,0,1
1165,0,1
1173,0,1
1177,0,1
1186,0,1
1200,0,1	map_score,mapped,occurence
0,0,617
13,1,1
15,1,1
20,1,1
21,1,1
24,1,1
25,1,1
26,1,5
29,1,1
33,1,1
37,1,1
4,1,2
48,1,1
49,1,1
5,1,1
50,1,4
52,1,1
54,1,1
58,1,1
59,1,4
60,1,122
